DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2005,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2006,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2007,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2008,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2009,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2010,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2011,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2012,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2013,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2014,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2015,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2016,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2017,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2018,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2019,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2020,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2021,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2022,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2023,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,FEC2020-2030,PC,AL,2024,,m,
