year,sector,consumption_ktoe,output,consumption_per_unit_output,consumption_index_2000_100,output_index_2000_100,intensity_index_2000_100,consumption_missing,output_missing,intensity_missing,uk_eedi05_index,efficiency_proxy
1990,"Iron, steel, non-ferrous metals",1990.0,8243.0,112.8,73.07624113475177,239.4362515140864,96.65809768637531,False,False,False,,0.008865248226950355
1991,"Iron, steel, non-ferrous metals",1991.0,8002.0,102.9,77.76482021379981,232.43587099547733,88.17480719794345,False,False,False,,0.009718172983479106
1992,"Iron, steel, non-ferrous metals",1992.0,7815.6,98.2,79.58859470468433,227.02146880183113,84.14738646101114,False,False,False,,0.010183299389002037
1993,"Iron, steel, non-ferrous metals",1993.0,8156.3,97.4,83.74024640657083,236.9178573607113,83.46186803770351,False,False,False,,0.01026694045174538
1994,"Iron, steel, non-ferrous metals",1994.0,7999.44,99.8,80.15470941883767,232.36151010698092,85.51842330762639,False,False,False,,0.01002004008016032
1995,"Iron, steel, non-ferrous metals",1995.0,7978.31,102.6,77.761306042885,231.74774230466468,87.91773778920307,False,False,False,,0.009746588693957116
1996,"Iron, steel, non-ferrous metals",1996.0,5443.700000000001,102.5,53.109268292682934,158.12436277656587,87.83204798628962,False,False,False,,0.00975609756097561
1997,"Iron, steel, non-ferrous metals",1997.0,5312.58,106.8,49.74325842696629,154.3156910188894,91.51670951156812,False,False,False,,0.009363295880149813
1998,"Iron, steel, non-ferrous metals",1998.0,5194.01,108.9,47.69522497704316,150.87156189817787,93.31619537275064,False,False,False,,0.009182736455463728
1999,"Iron, steel, non-ferrous metals",1999.0,5102.139999999999,114.3,44.63814523184602,148.2029936067064,97.94344473007712,False,False,False,,0.008748906386701663
2000,"Iron, steel, non-ferrous metals",2000.0,3442.67,116.7,29.500171379605828,100.0,100.0,False,False,False,,0.00856898029134533
2001,"Iron, steel, non-ferrous metals",2001.0,3584.5400000000004,114.7,31.251438535309507,104.12092939491733,98.28620394173092,False,False,False,,0.008718395815170008
2002,"Iron, steel, non-ferrous metals",2002.0,3143.2,112.5,27.93955555555555,91.30122840702128,96.40102827763496,False,False,False,,0.008888888888888889
2003,"Iron, steel, non-ferrous metals",2003.0,3053.63,113.1,26.999381078691425,88.69946872630837,96.91516709511568,False,False,False,,0.008841732979664015
2004,"Iron, steel, non-ferrous metals",2004.0,2894.18,104.6,27.66902485659656,84.06788916741947,89.63153384747214,False,False,False,,0.009560229445506692
2005,"Iron, steel, non-ferrous metals",2005.0,2772.34,106.9,25.93395696913003,80.52877563054257,91.60239931448156,False,False,False,100.0,0.009354536950420954
2006,"Iron, steel, non-ferrous metals",2006.0,2867.7799999999997,106.2,27.003578154425607,83.30104250480005,91.0025706940874,False,False,False,99.34518241347054,0.009416195856873822
2007,"Iron, steel, non-ferrous metals",2007.0,2727.38,103.8,26.27533718689788,79.22281252632405,88.94601542416451,False,False,False,97.10009354536952,0.009633911368015415
2008,"Iron, steel, non-ferrous metals",2008.0,2481.37,102.2,24.27954990215264,72.07690542514966,87.57497857754927,False,False,False,95.60336763330217,0.009784735812133072
2009,"Iron, steel, non-ferrous metals",2009.0,2006.77,78.9,25.434347275031683,58.29109383124145,67.60925449871465,False,False,False,73.80729653882133,0.012674271229404309
2010,"Iron, steel, non-ferrous metals",2010.0,2184.04,84.0,26.00047619047619,63.44029488739844,71.97943444730078,False,False,False,78.57811038353604,0.011904761904761904
2011,"Iron, steel, non-ferrous metals",2011.0,2091.42,87.5,23.901942857142856,60.74994117937531,74.97857754927163,False,False,False,81.85219831618336,0.011428571428571429
2012,"Iron, steel, non-ferrous metals",2012.0,1850.7,97.3,19.02055498458376,53.7576938829455,83.37617823479006,False,False,False,91.0196445275959,0.010277492291880781
2013,"Iron, steel, non-ferrous metals",2013.0,1945.36,96.0,20.264166666666668,56.50730392398923,82.26221079691517,False,False,False,89.80355472404118,0.010416666666666666
2014,"Iron, steel, non-ferrous metals",2014.0,1952.0599999999995,103.3,18.896999031945786,56.70192031185096,88.51756640959725,False,False,False,96.63236669784847,0.00968054211035818
